PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
243,98117,Golden Gardens Park,36,4 a.m. - 11:30 p.m.,Waterfront
243,98117,Golden Gardens Park,9,4 a.m. - 11:30 p.m.,Weddings and Ceremonies
307,98115,Green Lake Park,45,24 Hours,Baseball/Softball
307,98115,Green Lake Park,3,24 Hours,Basketball (Full)
307,98115,Green Lake Park,7,24 Hours,Boat Launch (Hand Carry)
307,98115,Green Lake Park,10,24 Hours,Community Center
307,98115,Green Lake Park,15,24 Hours,Fishing
307,98115,Green Lake Park,53,24 Hours,Golf
307,98115,Green Lake Park,5,24 Hours,Guarded Beach
307,98115,Green Lake Park,33,24 Hours,Paths
307,98115,Green Lake Park,42,24 Hours,Paths (ADA Compliant)
307,98115,Green Lake Park,41,24 Hours,Play Area (ADA Compliant)
307,98115,Green Lake Park,23,24 Hours,Pool (Indoor)
307,98115,Green Lake Park,26,24 Hours,Rental Facility
307,98115,Green Lake Park,27,24 Hours,Restrooms
307,98115,Green Lake Park,40,24 Hours,Restrooms (ADA Compliant)
307,98115,Green Lake Park,44,24 Hours,Soccer
307,98115,Green Lake Park,29,24 Hours,Tennis Court (Outdoor)
307,98115,Green Lake Park,35,24 Hours,Wading Pool or Water Feature
307,98115,Green Lake Park,36,24 Hours,Waterfront
307,98115,Green Lake Park,37,24 Hours,Woods
4408,98117,Greenwood Park,33,4 a.m. - 11:30 p.m.,Paths
4408,98117,Greenwood Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4157,98106,Greg Davis Park,33,4 a.m. - 11:30 p.m.,Paths
4157,98106,Greg Davis Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
356,98112,Harrison Ridge Greenbelt,56,4 a.m. - 11:30 p.m.,Green Space
356,98112,Harrison Ridge Greenbelt,37,4 a.m. - 11:30 p.m.,Woods
4412,98106,Herring's House Park (T'ul'altx),33,4 a.m. - 11:30 p.m.,Paths
4412,98106,Herring's House Park (T'ul'altx),34,4 a.m. - 11:30 p.m.,View
358,98104,Hing Hay Park,27,6 a.m. - 10 p.m.,Restrooms
358,98104,Hing Hay Park,40,6 a.m. - 10 p.m.,Restrooms (ADA Compliant)
4413,98118,Hitt's Hill Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
4413,98118,Hitt's Hill Park,33,4 a.m. - 11:30 p.m.,Paths
4426,98122,Homer Harris Park,33,4 a.m. - 11:30 p.m.,Paths
4426,98122,Homer Harris Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4426,98122,Homer Harris Park,34,4 a.m. - 11:30 p.m.,View
43,98122,Horiuchi Park,34,4 a.m. - 11:30 p.m.,View
359,98122,Howell Park,34,4 a.m. - 11:30 p.m.,View
359,98122,Howell Park,36,4 a.m. - 11:30 p.m.,Waterfront
4456,98125,Hubbard Homestead,74,4 a.m. - 11:30 p.m.,Adult Fitness Equipment
4456,98125,Hubbard Homestead,70,4 a.m. - 11:30 p.m.,Skatespot
4446,98102,I-5 Colonnade,52,4 a.m. - 11:30 p.m.,Bike Trail
4446,98102,I-5 Colonnade,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
4446,98102,I-5 Colonnade,33,4 a.m. - 11:30 p.m.,Paths
4446,98102,I-5 Colonnade,34,4 a.m. - 11:30 p.m.,View
313,98119,Interbay Golf,53,4 a.m. - 11:30 p.m.,Golf
3023,98102,Interlaken Park,52,4 a.m. - 11:30 p.m.,Bike Trail
3023,98102,Interlaken Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
3023,98102,Interlaken Park,33,4 a.m. - 11:30 p.m.,Paths
3023,98102,Interlaken Park,37,4 a.m. - 11:30 p.m.,Woods
364,98104,International Children's Park,41,6 a.m. - 10 p.m.,Play Area (ADA Compliant)
327,98125,Jackson Park Golf Course,53,4 a.m. - 11:30 p.m.,Golf
327,98125,Jackson Park Golf Course,25,4 a.m. - 11:30 p.m.,P-Patch Community Garden
1000393,98112,Japanese Garden,17,,Garden
114,98108,Jefferson Park,45,4 a.m. - 11:30 p.m.,Baseball/Softball
114,98108,Jefferson Park,3,4 a.m. - 11:30 p.m.,Basketball (Full)
114,98108,Jefferson Park,10,4 a.m. - 11:30 p.m.,Community Center
114,98108,Jefferson Park,47,4 a.m. - 11:30 p.m.,Cricket
